year	algorithm	n_articles	pct_missing_params	pct_missing_justification	pct_missing_evaluation	pct_missing_tuning	pct_missing_reporting_signals
2015	hierarchical	3383	81.34791605084244	17.32190363582619	73.45551285840969	84.3334318652084	98.1377475613361
2015	ward	88	72.72727272727273	20.454545454545453	55.68181818181818	82.95454545454545	92.04545454545455
2015	OPTICS	2602	95.11913912375095	37.08685626441199	84.70407378939278	92.23674096848578	99.76940814757879
2015	mean shift	77	74.02597402597402	24.675324675324674	83.11688311688312	74.02597402597402	100.0
2015	BIRCH	75	90.66666666666667	29.333333333333332	69.33333333333333	89.33333333333333	100.0
2015	spectral	66	30.303030303030305	19.696969696969695	62.121212121212125	71.21212121212122	89.39393939393939
2015	GMM/mixture	422	62.55924170616114	14.928909952606634	62.322274881516584	74.40758293838863	94.07582938388626
2015	SOM	183	66.66666666666667	16.39344262295082	67.75956284153006	79.23497267759562	95.62841530054645
2015	MCL	290	80.6896551724138	26.551724137931036	59.310344827586206	88.27586206896552	97.24137931034483
2015	community detection	98	24.489795918367346	20.408163265306122	24.489795918367346	83.6734693877551	90.81632653061224
2015	louvain	58	27.586206896551722	10.344827586206897	29.310344827586206	74.13793103448276	86.20689655172414
2015	leiden	116	87.06896551724138	22.413793103448278	71.55172413793103	87.93103448275862	97.41379310344827
2015	generic cluster*	18077	84.3336836864524	27.239033025391382	76.79371577142224	87.24899042982796	98.705537423245
2016	k-means	1415	48.90459363957597	14.840989399293287	66.28975265017668	74.77031802120142	93.42756183745583
2016	k-medoids/PAM	291	64.26116838487972	15.120274914089347	64.26116838487972	76.97594501718213	93.81443298969072
2016	c-means/fuzzy c-means	135	40.74074074074074	19.25925925925926	76.29629629629629	69.62962962962963	94.81481481481481
2016	hierarchical	3923	81.08590364516951	16.466989548814684	73.38771348457813	83.50751975528932	97.78230945704817
2016	ward	97	70.10309278350516	15.463917525773196	72.16494845360825	82.47422680412372	98.96907216494846
2016	DBSCAN	90	47.77777777777778	21.11111111111111	65.55555555555556	75.55555555555556	90.0
2016	OPTICS	3243	94.8504471168671	36.91026827012026	84.30465618254702	92.22941720629048	99.84582176996608
2016	mean shift	70	67.14285714285714	20.0	77.14285714285714	82.85714285714286	95.71428571428571
2016	BIRCH	93	83.87096774193549	23.655913978494624	64.51612903225806	87.09677419354838	97.84946236559139
2016	spectral	92	25.0	17.391304347826086	50.0	66.30434782608695	91.30434782608695
2016	GMM/mixture	464	58.62068965517241	15.301724137931034	57.758620689655174	73.49137931034483	94.18103448275862
2016	SOM	206	70.87378640776699	14.563106796116505	65.04854368932038	76.2135922330097	92.23300970873787
2016	MCL	294	77.89115646258503	24.14965986394558	60.8843537414966	86.73469387755102	97.27891156462584
2016	community detection	128	18.75	14.84375	17.1875	85.15625	90.625
2016	louvain	79	22.78481012658228	17.72151898734177	18.9873417721519	84.81012658227849	92.40506329113924
2016	leiden	144	88.19444444444444	29.86111111111111	72.22222222222223	87.5	97.22222222222223
2016	generic cluster*	20462	84.03870589385201	25.686638647248557	76.49301143583227	86.59466327827192	98.5631903039781
